127.0.0.1 - - [07/Sep/2017:12:25:14 -0700] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:26:42 -0700] "GET /RESTfulWebServiceExample/rest/ConversionService/FeetToInch/2 HTTP/1.1" 500 4807
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:26:42 -0700] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:28:41 -0700] "GET /RESTfulWebServiceExample/ HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:28:56 -0700] "GET /RESTfulWebServiceExample/rest/ConversionService/FeetToInch/2 HTTP/1.1" 500 4807
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:28:58 -0700] "GET /RESTfulWebServiceExample/rest/ConversionService/FeetToInch/2 HTTP/1.1" 500 4807
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:28:58 -0700] "GET /RESTfulWebServiceExample/rest/ConversionService/FeetToInch/2 HTTP/1.1" 500 4807
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:28:59 -0700] "GET /RESTfulWebServiceExample/rest/ConversionService/FeetToInch/2 HTTP/1.1" 500 4807
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:28:59 -0700] "GET /RESTfulWebServiceExample/rest/ConversionService/FeetToInch/2 HTTP/1.1" 500 4807
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:28:59 -0700] "GET /RESTfulWebServiceExample/rest/ConversionService/FeetToInch/2 HTTP/1.1" 500 4807
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:29:00 -0700] "GET /RESTfulWebServiceExample/rest/ConversionService/FeetToInch/2 HTTP/1.1" 500 4807
